Index,Tindakan / Action Log
1,"Action: Start Dual Adjustment | ACC: ('A1',) | Target PPN: 4,000,000,000.00 | Target BTKP: 300,000,000.00"
2,--- Memulai Fase Penyesuaian PPN ---
3,"PPN -> Current: 3,690,997,786.39 | Gap: 309,002,213.61"
4,"[PPN] Target Penambahan: 309,002,213.61"
5,[PPN] Faktor Penambahan (P): 0.0837
6,"[A1 ] Action: Inject Fiktif [500/20364] | Receipt: 03-251101/00109 | Product: 0230108    | Qty Added: 1 | Value: 5,600.00 | Remaining Gap: 300,713,586.61"
7,"[A1 ] Action: Inject Fiktif [1000/20364] | Receipt: 01-251102/00131 | Product: 0280076 | Qty Added: 1 | Value: 7,050.00 | Remaining Gap: 292,124,436.61"
8,"[A1 ] Action: Inject Fiktif [1000/20364] | Receipt: 01-251102/00131 | Product: 0652265    | Qty Added: 1 | Value: 2,100.00 | Remaining Gap: 292,122,336.61"
9,"[A1 ] Action: Inject Fiktif [1000/20364] | Receipt: 01-251102/00131 | Product: 0250775    | Qty Added: 1 | Value: 1,900.00 | Remaining Gap: 292,120,436.61"
10,"[A1 ] Action: Inject Fiktif [1500/20364] | Receipt: 04-251102/00158 | Product: 0080057 | Qty Added: 3 | Value: 6,600.00 | Remaining Gap: 283,939,511.61"
11,"[A1 ] Action: Inject Fiktif [1500/20364] | Receipt: 04-251102/00158 | Product: 0060026 | Qty Added: 1 | Value: 1,000.00 | Remaining Gap: 283,938,511.61"
12,"[A1 ] Action: Inject Fiktif [2000/20364] | Receipt: 02-251103/00065 | Product: 0442649    | Qty Added: 2 | Value: 24,400.00 | Remaining Gap: 276,122,461.61"
13,"[A1 ] Action: Inject Fiktif [2500/20364] | Receipt: 05-251103/00048 | Product: 0321598    | Qty Added: 1 | Value: 7,850.00 | Remaining Gap: 268,757,336.61"
14,"[A1 ] Action: Inject Fiktif [2500/20364] | Receipt: 05-251103/00048 | Product: 0250206    | Qty Added: 1 | Value: 3,850.00 | Remaining Gap: 268,753,486.61"
15,"[A1 ] Action: Inject Fiktif [2500/20364] | Receipt: 05-251103/00048 | Product: 0090081    | Qty Added: 1 | Value: 1,350.00 | Remaining Gap: 268,752,136.61"
16,"[A1 ] Action: Inject Fiktif [3000/20364] | Receipt: 03-251104/00011 | Product: 0300108    | Qty Added: 2 | Value: 7,400.00 | Remaining Gap: 260,493,429.61"
17,"[A1 ] Action: Inject Fiktif [3000/20364] | Receipt: 03-251104/00011 | Product: 0270155    | Qty Added: 1 | Value: 950.00 | Remaining Gap: 260,492,479.61"
18,"[A1 ] Action: Inject Fiktif [3500/20364] | Receipt: 05-251104/00158 | Product: 0303779    | Qty Added: 4 | Value: 6,800.00 | Remaining Gap: 252,570,829.61"
19,"[A1 ] Action: Inject Fiktif [4000/20364] | Receipt: 04-251105/00127 | Product: 0170501    | Qty Added: 1 | Value: 6,100.00 | Remaining Gap: 245,719,979.61"
20,"[A1 ] Action: Inject Fiktif [5000/20364] | Receipt: 02-251107/00067 | Product: 0280434    | Qty Added: 2 | Value: 15,100.00 | Remaining Gap: 232,198,304.61"
21,"[A1 ] Action: Inject Fiktif [5500/20364] | Receipt: 05-251107/00045 | Product: 0350364    | Qty Added: 1 | Value: 15,300.00 | Remaining Gap: 224,811,129.61"
22,"[A1 ] Action: Inject Fiktif [5500/20364] | Receipt: 05-251107/00045 | Product: 0140812    | Qty Added: 2 | Value: 5,900.00 | Remaining Gap: 224,805,229.61"
23,"[A1 ] Action: Inject Fiktif [5500/20364] | Receipt: 05-251107/00045 | Product: 0280401    | Qty Added: 1 | Value: 2,250.00 | Remaining Gap: 224,802,979.61"
24,"[A1 ] Action: Inject Fiktif [6000/20364] | Receipt: 03-251108/00048 | Product: 0200129    | Qty Added: 1 | Value: 10,200.00 | Remaining Gap: 216,937,804.61"
25,"[A1 ] Action: Inject Fiktif [6000/20364] | Receipt: 03-251108/00048 | Product: 0101530    | Qty Added: 3 | Value: 5,850.00 | Remaining Gap: 216,931,954.61"
26,"[A1 ] Action: Inject Fiktif [6500/20364] | Receipt: 02-251109/00054 | Product: 0660508    | Qty Added: 1 | Value: 20,700.00 | Remaining Gap: 208,273,279.61"
27,"[A1 ] Action: Inject Fiktif [6500/20364] | Receipt: 02-251109/00054 | Product: 0080106 | Qty Added: 1 | Value: 1,475.00 | Remaining Gap: 208,271,804.61"
28,"[A1 ] Action: Inject Fiktif [7000/20364] | Receipt: 05-251109/00107 | Product: 0220012    | Qty Added: 4 | Value: 27,800.00 | Remaining Gap: 200,152,654.61"
29,"[A1 ] Action: Inject Fiktif [7000/20364] | Receipt: 05-251109/00107 | Product: 0320602    | Qty Added: 1 | Value: 1,100.00 | Remaining Gap: 200,151,554.61"
30,"[A1 ] Action: Inject Fiktif [7500/20364] | Receipt: 03-251110/00085 | Product: 0250543    | Qty Added: 1 | Value: 1,750.00 | Remaining Gap: 192,964,704.61"
